Token,Uid,Link
RepDevinNunes,344972339,https://twitter.com/RepDevinNunes
CarlForAlabama,2237925464,https://twitter.com/CarlForAlabama?s=20
RepJerryCarl,1.34109E+18,https://twitter.com/RepJerryCarl?s=20
RepBarryMoore,1.33901E+18,https://twitter.com/RepBarryMoore?s=20
JayObernolte,272482466,https://twitter.com/JayObernolte?s=20
TeamObernolte,1.2916E+18,https://twitter.com/TeamObernolte?s=20
RepDavidValadao,1128514404,https://twitter.com/RepDavidValadao?s=20
dgvaladao,36676406,https://twitter.com/dgvaladao?s=20
YoungKimCA,2355919591,https://twitter.com/YoungKimCA?s=20
RepYoungKim,1.34468E+18,https://twitter.com/RepYoungKim?s=20
MichelleSteelCA,1.12293E+18,https://twitter.com/MichelleSteelCA?s=20
RepSteel,1.34374E+18,https://twitter.com/RepSteel?s=20
DarrellIssa,22509548,https://twitter.com/DarrellIssa?s=20
repdarrellissa,63650107,https://twitter.com/repdarrellissa?s=20
laurenboebert,1.20167E+18,https://twitter.com/laurenboebert?s=20
RepBoebert,1.34299E+18,https://twitter.com/RepBoebert?s=20
Kat_Cammack,1.21491E+18,https://twitter.com/Kat_Cammack?s=20
RepKatCammack,1.34433E+18,https://twitter.com/RepKatCammack?s=20
ScottFranklinFL,1.24796E+18,https://twitter.com/ScottFranklinFL?s=20
mtngoat86,58944330,https://twitter.com/mtngoat86?s=20
ByronDonalds,96015533,https://twitter.com/ByronDonalds?s=20
RepDonaldsPress,1.34397E+18,https://twitter.com/RepDonaldsPress?s=20
CarlosGimenezFl,1.21719E+18,https://twitter.com/CarlosGimenezFL?s=20
RepCarlos,1.34368E+18,https://twitter.com/RepCarlos?s=20
MaElviraSalazar,40282700,https://twitter.com/MaElviraSalazar?s=20
RepMariaSalazar,1.32593E+18,https://twitter.com/RepMariaSalazar?s=20
mtgreenee,8.26065E+17,https://twitter.com/mtgreenee?s=20
RepMTG,1.34436E+18,https://twitter.com/RepMTG?s=20
RepMaryMiller,1.34366E+18,https://twitter.com/RepMaryMiller?s=20
Miller_Congress,1.18012E+18,https://twitter.com/Miller_Congress?s=20
hinsonashley,18189966,https://twitter.com/hinsonashley?s=20
RepAshleyHinson,1.34078E+18,https://twitter.com/RepAshleyHinson?s=20
millermeeks,18131106,https://twitter.com/millermeeks?s=20
RepMMM,1.34581E+18,https://twitter.com/RepMMM?s=20
RandyFeenstra,23764160,https://twitter.com/RandyFeenstra?s=20
RepFeenstra,1.34514E+18,https://twitter.com/RepFeenstra?s=20
Victoria_Spartz,1205364420,https://twitter.com/Victoria_Spartz?s=20
RepSpartz,1.34485E+18,https://twitter.com/RepSpartz?s=20
TraceyMannKS,9.63464E+17,https://twitter.com/TraceyMannKS?s=20
RepMann,1.34583E+18,https://twitter.com/RepMann?s=20
JakeLaTurner,1.08233E+18,https://twitter.com/JakeLaTurner?s=20
RepLaTurner,1.34585E+18,https://twitter.com/RepLaTurner?s=20
VoteMeijer,1.13495E+18,https://twitter.com/VoteMeijer?s=20
pjfm,20393417,https://twitter.com/pjfm?s=20
RepMeijer,1.33416E+18,https://twitter.com/RepMeijer?s=20
RepLisaMcClain,1.34403E+18,https://twitter.com/RepLisaMcClain?s=20
LisaForCongress,1.18755E+18,https://twitter.com/LisaForCongress?s=20
FischbachMN7,1.15993E+18,https://twitter.com/FischbachMN7?s=20
RepFischbach,1.34438E+18,https://twitter.com/RepFischbach?s=20
MattForMontana,1376252790,https://twitter.com/MattForMontana?s=20
